,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
560,Kyndall Gilbert,Kent State,9.525,5.8657894736842096,2021,9.75,8.938,0.0,0.225
561,Sydney Bennett,Bowling Green,9.65,6.670238095238096,2022,0.0,0.0,0.0,-9.65
562,Bryanna Deangelis,Cortland State,8.725,5.483333333333333,2022,0.0,0.0,0.0,-8.725
563,Kaleigh Cleveland,Pittsburgh,9.575,6.1217741935483865,2022,0.0,0.0,0.0,-9.575
564,Michelle Reed,Lindenwood,9.025,3.9555555555555557,2022,0.0,0.0,0.0,-9.025
565,Jordan Kane,California,9.8,6.250000000000001,2022,0.0,0.0,0.0,-9.8
566,Lucy Stanhope,Utah,8.8,8.8,2021,9.9,9.822,9.885,1.1
567,Grace Vaillancourt,Towson,9.5,6.963043478260869,2021,9.875,9.716,9.83,0.375
568,Elizabeth Cesarone,Central Michigan,9.5,7.205555555555555,2021,0.0,0.0,0.0,-9.5
569,Taylor Kish,UW-Eau Claire,8.525,4.8343750000000005,2021,8.25,8.25,0.0,-0.275
570,Ilka Juk,LIU,9.35,9.35,2022,0.0,0.0,0.0,-9.35
571,Emily Walker,Alaska,9.475,9.3625,2022,0.0,0.0,0.0,-9.475
572,Rylie Molina,Centenary College,9.25,6.415625,2021,0.0,0.0,0.0,-9.25
573,Audrey Arnold,Southern Conn.,8.9,8.850000000000001,2022,8.55,8.55,0.0,-0.35
574,Montana Fairbairn,Alaska,9.525,9.4625,2022,0.0,0.0,0.0,-9.525
575,Anne Kiley,Springfield College,9.125,4.621153846153845,2022,0.0,0.0,0.0,-9.125
576,Trinity Macy,Pittsburgh,9.625,7.327272727272728,2021,9.8,9.507,9.565,0.175
577,Jazmine Neely,Illinois State,9.7,6.696590909090909,2021,9.0,9.0,0.0,-0.7
578,Taylor Russon,Washington,9.675,7.020999999999999,2021,0.0,0.0,0.0,-9.675
579,Alana Ricketts,LIU,9.5,8.8875,2021,0.0,0.0,0.0,-9.5
